step,walltime,_timestamp,train/opt/loss
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,238.78983728702252
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,89.12466384269096
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,66.60777445956393
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,56.4293283658607
21408,2025-05-19 14:21:22.528584956,1747664482.528585,51.93521455923716
24928,2025-05-19 14:23:21.808706999,1747664601.808707,48.16256140795621
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,44.069849400906946
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,42.10390830473467
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,40.76414757641879
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,39.22250111897787
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,38.697990239750254
46048,2025-05-19 14:35:24.900423050,1747665324.900423,37.379848121522784
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,37.395370307269395
53024,2025-05-19 14:39:26.302659988,1747665566.30266,36.66673135311804
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,36.287632164088166
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,35.23188167485324
63616,2025-05-19 14:45:27.449976921,1747665927.449977,34.68393564224243
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,35.1069820270882
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,34.11902657769761
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,33.31132218214842
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,32.73951995806261
81184,2025-05-19 14:55:33.495652914,1747666533.495653,32.878591827444126
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,32.71906503784322
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,31.74450736912814
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,31.960810442228574
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,31.832196177135813
98752,2025-05-19 15:05:35.956784010,1747667135.956784,31.435369964118475
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,31.017578147075795
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,30.473871564865114
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,30.500613953850486
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,30.312478052486075
116224,2025-05-19 15:15:35.537846088,1747667735.537846,30.584063735273148
119776,2025-05-19 15:17:37.521825075,1747667857.521825,29.8449811677675
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,29.10814611261541
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,28.277226115132237
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,28.175780391693117
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,28.451318041042047
137344,2025-05-19 15:27:40.796781063,1747668460.796781,28.171884913878007
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,27.891974863139065
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,27.60074908883722
147840,2025-05-19 15:33:41.403523922,1747668821.403524,27.925482531574286
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,27.771498819729228
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,27.640327644777727
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,27.115534498474815
161984,2025-05-19 15:41:47.782854080,1747669307.782854,26.945024605230852
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,26.772509726408487
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,26.34439453777966
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,25.853625477971256
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,25.635707236211235
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,25.514520917926824
182976,2025-05-19 15:53:46.559751987,1747670026.559752,25.388424837700676
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,25.06469585444476
190080,2025-05-19 15:57:49.351510048,1747670269.35151,24.947637411925168
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,24.72360628084703
197056,2025-05-19 16:01:50.712171078,1747670510.712171,24.90620942910512
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,24.795465488867325
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,24.617934083079433
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,24.48387960055927
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,24.6097786729986
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,24.449884985094872
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,23.971099821004
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,23.833971060074127
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,23.426147070016945
228672,2025-05-19 16:19:53.873765945,1747671593.873766,23.45613771064259
232224,2025-05-19 16:21:55.888797998,1747671715.888798,23.25857470916198
235744,2025-05-19 16:23:55.148148060,1747671835.148148,22.921691937880084
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,22.78546980909399
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,22.657200699453956
246240,2025-05-19 16:29:56.853270054,1747672196.85327,22.678936054121774
249792,2025-05-19 16:31:58.693293095,1747672318.693293,22.51848409197352
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,22.49200458093123
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,22.66774716892758
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,22.808545158969032
263840,2025-05-19 16:39:59.766632080,1747672799.766632,22.726908336986195
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,22.717205093123695
270880,2025-05-19 16:44:00.384345055,1747673040.384345,22.560885128107937
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,22.45685938027528
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,22.644944056316657
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,22.562363893335515
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,22.305254390647818
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,22.253455170718105
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,22.323103597572256
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,22.304629693521516
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,22.125261876799843
302528,2025-05-19 17:02:06.410092115,1747674126.410092,22.0444217093356
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,22.14528577977961
309504,2025-05-19 17:06:06.319726944,1747674366.319727,22.11762590099264
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,21.991260835716318
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,21.909465967525136
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,21.799315156163395
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,21.702834981138057
327104,2025-05-19 17:16:09.551645041,1747674969.551645,21.86278581398505
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,21.657525264465058
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,21.53085359876806
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,21.42600653837393
341152,2025-05-19 17:24:12.267472029,1747675452.267472,21.432079700666055
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,21.323811655645972
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,21.237349447337063
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,21.181119524348865
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,20.894683268693118
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,21.09341600453742
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,20.81333905512148
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,20.711070125167435
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,20.538877669247714
372768,2025-05-19 17:42:17.485610008,1747676537.48561,20.588939640009514
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,20.29904469360005
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,20.17197948318344
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,20.28428898416124
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,20.119575151530178
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,20.144169469674427
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,20.078604910590432
397440,2025-05-19 17:56:20.014700890,1747677380.014701,19.85812171515044
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,19.763377629958832
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,19.919675557412834
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,19.752619925919955
411488,2025-05-19 18:04:22.756731033,1747677862.756731,19.656705796718597
415040,2025-05-19 18:06:23.091437578,1747677983.0914376,19.558272343498093
418592,2025-05-19 18:08:28.063162088,1747678108.063162,19.57585887006811
422016,2025-05-19 18:10:24.031040907,1747678224.031041,19.69002794105316
425568,2025-05-19 18:12:26.214601040,1747678346.214601,19.61381687989106
429088,2025-05-19 18:14:25.431440353,1747678465.4314404,19.46044556119225
432640,2025-05-19 18:16:25.775581121,1747678585.7755811,19.32405791304133
436192,2025-05-19 18:18:30.750889778,1747678710.7508898,19.534999007577294
439616,2025-05-19 18:20:26.716792583,1747678826.7167926,19.52856891400346
443168,2025-05-19 18:22:28.293231010,1747678948.293231,19.538820114221657
446688,2025-05-19 18:24:27.508926868,1747679067.5089269,19.38231970288537
450240,2025-05-19 18:26:32.619707346,1747679192.6197073,19.359049298741795
453664,2025-05-19 18:28:29.870342970,1747679309.870343,19.46682357788086
457184,2025-05-19 18:30:29.126795052,1747679429.126795,19.60220268206163
460736,2025-05-19 18:32:30.731026173,1747679550.7310262,19.37707563133927
464256,2025-05-19 18:34:29.934651613,1747679669.9346516,19.433203062144194
467808,2025-05-19 18:36:33.693484068,1747679793.693484,19.38430974075386
471264,2025-05-19 18:38:31.981508493,1747679911.9815085,19.521898642734246
474784,2025-05-19 18:40:31.269820929,1747680031.269821,19.374217186190865
478336,2025-05-19 18:42:33.376602173,1747680153.3766022,19.274879060350024
481856,2025-05-19 18:44:36.018835545,1747680276.0188355,19.150743930990046
485312,2025-05-19 18:46:33.098924637,1747680393.0989246,19.570655935340458
488864,2025-05-19 18:48:34.671777010,1747680514.671777,19.40123834695902
492384,2025-05-19 18:50:33.908812523,1747680633.9088125,19.33714342550798
495936,2025-05-19 18:52:35.494518280,1747680755.4945183,19.30197287465001
499456,2025-05-19 18:54:38.140048027,1747680878.140048,19.269484839656137
