step,walltime,_timestamp,train/opt/update_rms
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,6.8013592749993634e-06
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,1.230310908283115e-05
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,1.0413999664681771e-05
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,9.333527134139816e-06
21408,2025-05-19 14:21:22.528584956,1747664482.528585,8.787254674618654e-06
24928,2025-05-19 14:23:21.808706999,1747664601.808707,8.317871615045905e-06
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,8.067801766665562e-06
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,8.00338408039765e-06
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,8.008439457605412e-06
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,8.021160816177278e-06
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,7.855904928274784e-06
46048,2025-05-19 14:35:24.900423050,1747665324.900423,8.199848598512807e-06
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,7.87784629179638e-06
53024,2025-05-19 14:39:26.302659988,1747665566.30266,8.2835046125064e-06
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,7.7315135141279e-06
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,8.024382872339298e-06
63616,2025-05-19 14:45:27.449976921,1747665927.449977,8.055191625698097e-06
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,7.700678749257875e-06
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,7.969606953475653e-06
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,8.165001935828292e-06
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,8.164475117796014e-06
81184,2025-05-19 14:55:33.495652914,1747666533.495653,7.702700019808208e-06
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,8.245831637718893e-06
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,8.56817872700462e-06
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,8.139029032176663e-06
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,7.908108105167146e-06
98752,2025-05-19 15:05:35.956784010,1747667135.956784,8.324562886402648e-06
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,8.515710583702054e-06
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,8.366897113050568e-06
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,8.072182024741117e-06
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,7.844360429358361e-06
116224,2025-05-19 15:15:35.537846088,1747667735.537846,7.842751202773528e-06
119776,2025-05-19 15:17:37.521825075,1747667857.521825,7.876589811039102e-06
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,8.57376730684998e-06
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,8.37253641465567e-06
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,8.552739306692687e-06
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,8.501330296650377e-06
137344,2025-05-19 15:27:40.796781063,1747668460.796781,8.426604023787315e-06
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,8.280266311286058e-06
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,8.031634468000095e-06
147840,2025-05-19 15:33:41.403523922,1747668821.403524,8.120562828561365e-06
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,7.988628830766552e-06
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,8.028139728975401e-06
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,8.014230252745784e-06
161984,2025-05-19 15:41:47.782854080,1747669307.782854,8.167460456124072e-06
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,8.261675634670287e-06
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,9.211052457914349e-06
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,8.81613347828206e-06
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,8.663844109332369e-06
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,8.904534118235395e-06
182976,2025-05-19 15:53:46.559751987,1747670026.559752,8.641919609510858e-06
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,8.66362880855262e-06
190080,2025-05-19 15:57:49.351510048,1747670269.35151,8.762652845410861e-06
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,8.617123352326995e-06
197056,2025-05-19 16:01:50.712171078,1747670510.712171,8.579967967576792e-06
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,8.390988081042781e-06
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,8.265305424330265e-06
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,8.220351946465189e-06
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,8.27761294059118e-06
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,8.238566227480767e-06
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,8.159967214024536e-06
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,8.33101145732914e-06
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,8.373748820767113e-06
228672,2025-05-19 16:19:53.873765945,1747671593.873766,9.443045996704313e-06
232224,2025-05-19 16:21:55.888797998,1747671715.888798,8.553642064643927e-06
235744,2025-05-19 16:23:55.148148060,1747671835.148148,8.596487339218583e-06
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,8.974327047613147e-06
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,8.669768040154185e-06
246240,2025-05-19 16:29:56.853270054,1747672196.85327,8.605103914760548e-06
249792,2025-05-19 16:31:58.693293095,1747672318.693293,8.621661649371376e-06
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,8.629657004762108e-06
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,8.771177028684014e-06
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,8.711538416466485e-06
263840,2025-05-19 16:39:59.766632080,1747672799.766632,8.627099432281037e-06
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,8.53948307518625e-06
270880,2025-05-19 16:44:00.384345055,1747673040.384345,8.51757793250065e-06
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,8.510625527812843e-06
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,8.606966578857586e-06
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,8.625362252959432e-06
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,8.44850266120219e-06
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,8.543230901316499e-06
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,8.558753347028255e-06
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,8.53655358794164e-06
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,8.50078133370599e-06
302528,2025-05-19 17:02:06.410092115,1747674126.410092,8.487745657402155e-06
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,8.581695013535037e-06
309504,2025-05-19 17:06:06.319726944,1747674366.319727,8.572824393021855e-06
313056,2025-05-19 17:08:08.077250481,1747674488.0772505,8.515868147172498e-06
316576,2025-05-19 17:10:07.358102560,1747674607.3581026,8.59250953495079e-06
320128,2025-05-19 17:12:09.690521717,1747674729.6905217,8.58615029661811e-06
323648,2025-05-19 17:14:12.459861517,1747674852.4598615,8.637157273741733e-06
327104,2025-05-19 17:16:09.551645041,1747674969.551645,8.62247584463047e-06
330656,2025-05-19 17:18:11.330963850,1747675091.3309639,8.53002140977444e-06
334176,2025-05-19 17:20:10.592103243,1747675210.5921032,8.59864459450612e-06
337728,2025-05-19 17:22:16.142609119,1747675336.1426091,8.607252280026014e-06
341152,2025-05-19 17:24:12.267472029,1747675452.267472,8.671094463428847e-06
344704,2025-05-19 17:26:12.752267361,1747675572.7522674,8.646278067792557e-06
348224,2025-05-19 17:28:14.091207743,1747675694.0912077,8.670063690177896e-06
351744,2025-05-19 17:30:13.436766386,1747675813.4367664,8.664982404256576e-06
355296,2025-05-19 17:32:18.734192371,1747675938.7341924,8.659350775921772e-06
358720,2025-05-19 17:34:14.732593298,1747676054.7325933,8.72640423834884e-06
362272,2025-05-19 17:36:15.103837729,1747676175.1038377,8.709747573431725e-06
365824,2025-05-19 17:38:16.821981192,1747676296.8219812,8.731738036887921e-06
369344,2025-05-19 17:40:19.597247839,1747676419.5972478,8.685619017838194e-06
372768,2025-05-19 17:42:17.485610008,1747676537.48561,8.775435598156002e-06
376288,2025-05-19 17:44:16.778774738,1747676656.7787747,9.022463871133368e-06
379840,2025-05-19 17:46:17.218710423,1747676777.2187104,8.730654769294176e-06
383392,2025-05-19 17:48:18.946798801,1747676898.9467988,8.841360872301684e-06
386912,2025-05-19 17:50:21.725440741,1747677021.7254407,8.778210534191285e-06
390368,2025-05-19 17:52:20.159259319,1747677140.1592593,8.809071509311386e-06
393888,2025-05-19 17:54:19.630604744,1747677259.6306047,8.897930713787487e-06
397440,2025-05-19 17:56:20.014700890,1747677380.014701,8.961815189428995e-06
400992,2025-05-19 17:58:25.774995804,1747677505.7749958,8.957857012155563e-06
404416,2025-05-19 18:00:21.915855408,1747677621.9158554,8.942153300760815e-06
407968,2025-05-19 18:02:23.547632456,1747677743.5476325,8.799245460363022e-06
411488,2025-05-19 18:04:22.756731033,1747677862.756731,8.846773627365936e-06
415040,2025-05-19 18:06:23.091437578,1747677983.0914376,8.864185105807877e-06
418592,2025-05-19 18:08:28.063162088,1747678108.063162,8.885302670457784e-06
422016,2025-05-19 18:10:24.031040907,1747678224.031041,8.87101255081357e-06
425568,2025-05-19 18:12:26.214601040,1747678346.214601,8.843237651490199e-06
429088,2025-05-19 18:14:25.431440353,1747678465.4314404,8.771206637447904e-06
432640,2025-05-19 18:16:25.775581121,1747678585.7755811,8.814282793807522e-06
436192,2025-05-19 18:18:30.750889778,1747678710.7508898,8.89222433072375e-06
439616,2025-05-19 18:20:26.716792583,1747678826.7167926,8.85772034205933e-06
443168,2025-05-19 18:22:28.293231010,1747678948.293231,8.8742071997134e-06
446688,2025-05-19 18:24:27.508926868,1747679067.5089269,8.76173176452126e-06
450240,2025-05-19 18:26:32.619707346,1747679192.6197073,8.823716852274882e-06
453664,2025-05-19 18:28:29.870342970,1747679309.870343,8.917966028662857e-06
457184,2025-05-19 18:30:29.126795052,1747679429.126795,8.900513767622959e-06
460736,2025-05-19 18:32:30.731026173,1747679550.7310262,8.761034342233535e-06
464256,2025-05-19 18:34:29.934651613,1747679669.9346516,8.894053799353556e-06
467808,2025-05-19 18:36:33.693484068,1747679793.693484,8.844607854420295e-06
471264,2025-05-19 18:38:31.981508493,1747679911.9815085,8.886626289950073e-06
474784,2025-05-19 18:40:31.269820929,1747680031.269821,8.793492214532639e-06
478336,2025-05-19 18:42:33.376602173,1747680153.3766022,8.784881436702824e-06
481856,2025-05-19 18:44:36.018835545,1747680276.0188355,8.825102829425967e-06
485312,2025-05-19 18:46:33.098924637,1747680393.0989246,8.946431957265642e-06
488864,2025-05-19 18:48:34.671777010,1747680514.671777,8.85813233867953e-06
492384,2025-05-19 18:50:33.908812523,1747680633.9088125,8.79376946882489e-06
495936,2025-05-19 18:52:35.494518280,1747680755.4945183,8.795270199337759e-06
499456,2025-05-19 18:54:38.140048027,1747680878.140048,8.7857178486543e-06
